ANO,MERCADO,MES,CLIENTE,MN,ARTIGO,REPRESENTANTE,GERENCIA,MTS,RS
2026,I,JAN,CALVIN KLEIN,TF,BIARRITZ,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,522.0,11491.0
2026,I,JAN,CALVIN KLEIN,TF,CAPITU,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,18.0,379.0
2026,I,JAN,CALVIN KLEIN,TF,FIL A FIL,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,275.0,5305.0
2026,I,JAN,CALVIN KLEIN,TF,GALLES,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,138.0,2776.0
2026,I,JAN,CALVIN KLEIN,TF,GALLES STRETCH,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,412.0,9214.0
2026,I,JAN,CALVIN KLEIN,TF,OXFORD,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,139.0,2679.0
2026,I,JAN,CALVIN KLEIN,TF,OXFORDINE,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,1060.0,22100.0
2026,I,JAN,CALVIN KLEIN,TF,RIVIERA,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,2.0,54.0
2026,I,JAN,CALVIN KLEIN,TF,TAOS,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,844.0,17399.0
2026,I,JAN,CALVIN KLEIN,TF,VICHY,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,1744.0,30923.0
2026,I,JAN,CALVIN KLEIN,TP,GALLES,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,1116.0,23163.0
2026,I,JAN,CALVIN KLEIN,TP,GALLES STRETCH,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,2800.0,61046.0
2026,I,JAN,CALVIN KLEIN,TP,GLOW STRETCH,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,499.0,13875.0
2026,I,JAN,CALVIN KLEIN,TP,JACARTA,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,52.0,1143.0
2026,I,JAN,CALVIN KLEIN,TP,LUHI,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,290.0,7392.0
2026,I,JAN,CALVIN KLEIN,TP,MOOD PLUS,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,44.0,1547.0
2026,I,JAN,CALVIN KLEIN,TP,SILKY,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,824.0,15846.0
2026,I,JAN,CAMILA MIX,TF,VICHY,H.G.S. REPRESENTAÇÕES LTDA,MAGDA,93.0,1876.0
2026,I,JAN,CAMISARA INTERAGE,TF,FIL A FIL,H.G.S. REPRESENTAÇÕES LTDA,MAGDA,38.0,852.0
2026,I,JAN,CAMISARA INTERAGE,TP,BIS,H.G.S. REPRESENTAÇÕES LTDA,MAGDA,25.0,628.0
2026,I,JAN,CAMISARA INTERAGE,TP,POINT,H.G.S. REPRESENTAÇÕES LTDA,MAGDA,477.0,12412.0
2026,I,JAN,CAMISARIA ANTONIO,TP,SKIN,NSL INTERMEDIAÇÃO COMERCIAL SERVIÇOS LTDA ME,FABIANA FERNANDES,94.0,2718.0
2026,I,JAN,CAMISARIA EMANUEL II,TP,PIQUET,M MIZI REPRESENTACOES LTDA,FABIANA FERNANDES,100.0,2936.0
2026,I,JAN,CAMISARIA EMANUEL II,TP,RUTH,M MIZI REPRESENTACOES LTDA,FABIANA FERNANDES,206.0,5737.0
2026,I,JAN,CAMYS BRAND,TF,LUHI,M MIZI REPRESENTACOES LTDA,FABIANA FERNANDES,28.0,890.0
2026,I,JAN,CAMYS BRAND,TF,TAOS FLAT,M MIZI REPRESENTACOES LTDA,FABIANA FERNANDES,16.0,373.0
2026,I,JAN,CAMYS BRAND,TP,LUHI,M MIZI REPRESENTACOES LTDA,FABIANA FERNANDES,15.0,448.0
2026,I,JAN,CAMYS BRAND,TP,MOOVE STRETCH,M MIZI REPRESENTACOES LTDA,FABIANA FERNANDES,10.0,252.0
2026,I,JAN,CAMYS BRAND,TP,SILKY,M MIZI REPRESENTACOES LTDA,FABIANA FERNANDES,8.0,161.0
2026,I,JAN,"CAPELINI IND E COM DE MALHAS, TEC E AVIAM",TF,VICHY,H.G.S. REPRESENTAÇÕES LTDA,MAGDA,274.0,5357.0
2026,I,JAN,CAROLINE PERAZZO SILVA,TED,BIARRITZ,REPRES.CLOMAR LTDA,MAGDA,20.0,523.0
2026,I,JAN,CASA PRADO,TF,FIL A FIL,CM PIMENTEL REPRESENTAÇÕES LTDA,FABIANA FERNANDES,35.0,825.0
2026,I,JAN,CASA PRADO,TP,RAVEL STRETCH,CM PIMENTEL REPRESENTAÇÕES LTDA,FABIANA FERNANDES,50.0,1746.0
2026,I,JAN,CASAS JOSE ARAUJO SA,TF,VICHY,LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA,MAGDA,331.0,6368.0
2026,I,JAN,CASAS JOSE ARAUJO SA,TP,BOLT,LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA,MAGDA,86.0,1106.0
2026,I,JAN,CASAS JOSE ARAUJO SA,TP,SILKY,LV TEXTIL REPRESENTAÇÕES E COMERCIO LTDA,MAGDA,30.0,420.0
2026,I,JAN,CASAS PERNAMBUCANAS,TED,BOLT,VANESSA BRUNO KEY ACCOUNT,FABIANA FERNANDES,1561.0,24815.0
2026,I,JAN,CASUAL BLUE,TF,OXFORD,GISLEINE BORGES KEY ACCOUNT,FABIANA FERNANDES,203.0,4311.0
2026,I,JAN,CASUAL BLUE,TP,OXFORD,GISLEINE BORGES KEY ACCOUNT,FABIANA FERNANDES,100.0,1974.0
2026,I,JAN,CATEX,TED,BOLT,ZOOM CONSULTORIA  & NEGÓCIOS LTDA,FABIANA FERNANDES,8254.0,125512.0
2026,I,JAN,CATEX,TED,BRISA FLOW,ZOOM CONSULTORIA  & NEGÓCIOS LTDA,FABIANA FERNANDES,2471.0,44171.0
2026,I,JAN,CATEX,TED,BRONX,ZOOM CONSULTORIA  & NEGÓCIOS LTDA,FABIANA FERNANDES,1711.0,30565.0
2026,I,JAN,CATEX,TF,VICHY,ZOOM CONSULTORIA  & NEGÓCIOS LTDA,FABIANA FERNANDES,7604.0,115619.0
2026,I,JAN,CATEX,TP,BRISA FLOW,ZOOM CONSULTORIA  & NEGÓCIOS LTDA,FABIANA FERNANDES,613.0,8518.0
2026,I,JAN,CATEXTIL COM REPRESDE TEXTEIS LTDA,TP,BIARRITZ,BECA REPRESENTAÇÕES COMERCIAIS LTDA,MAGDA,432.0,6051.0
2026,I,JAN,CATEXTIL COM REPRESDE TEXTEIS LTDA,TP,GALLES,BECA REPRESENTAÇÕES COMERCIAIS LTDA,MAGDA,163.0,3032.0
2026,I,JAN,CATEXTIL COM REPRESDE TEXTEIS LTDA,TP,SILKY,BECA REPRESENTAÇÕES COMERCIAIS LTDA,MAGDA,670.0,9355.0
2026,I,JAN,CELMA DE ASSIS ROSSATO CIA LTDA,TED,SILKY,MJ LIMA REPRESENTACOES LTDA,MAGDA,102.0,1829.0
2026,I,JAN,CELMA DE ASSIS ROSSATO CIA LTDA,TF,BIARRITZ,MJ LIMA REPRESENTACOES LTDA,MAGDA,102.0,2169.0
2026,I,JAN,CELMA DE ASSIS ROSSATO CIA LTDA,TP,CACAU,MJ LIMA REPRESENTACOES LTDA,MAGDA,79.0,1809.0
2026,I,JAN,CELMA DE ASSIS ROSSATO CIA LTDA,TP,MAQ. 40,MJ LIMA REPRESENTACOES LTDA,MAGDA,874.0,20005.0
2026,I,JAN,CELMA DE ASSIS ROSSATO CIA LTDA,TP,SILKY,MJ LIMA REPRESENTACOES LTDA,MAGDA,1014.0,15118.0
2026,I,JAN,CENARIO COMERCIAL LTDA EPP,TF,BIARRITZ,FELIPPE TRINDADE REPRES. LTDA,MAGDA,6.0,160.0
2026,I,JAN,CETTI VESTUARIOS E ACESSORIOS LTDA,TED,BOXER,NICCHIO REPRESENTACOES E SERVICOS S/C LTDA,MAGDA,103.0,2274.0
